title,url,price_usd,price_vnd_text,size_m2,price_per_m2_usd,bedrooms,property_type,district,listed_text,listed_approx_date,latitude,longitude,agent,contact,description,scraped_at,source
Prime Da Nang Land Plot for Sale,https://www.danangmls.com/listing/prime-da-nang-land-plot-for-sale-1kq76g,136800.0,,,,0,Land,Cam Le,20 hours ago,2026-08-31,15.995,108.198,,0901.989.133,"Owner offers for sale a land plot at K82 Nguyen Luong Bang Street, Da Nang City (near the University of Technology). It connects to Hoang Thi Loan Street, with a 7m wide paved alley allowing two cars to pass.
⇒ Area: 5m x 16m = 80 sq.m
⇒ Direction: Southeast
⇒ Price: 3.6 billion VND (negotiable)
Contact to view the land: 0886815252
Zalo: 0901.989.133 Ms. Tu

☎️ Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes

Price: $136,800 for sale

Location: Cam Le

Bedrooms: 0

Type: Land

Member Name: Minh Tú Land

Image URL 1: https://scontent.fagc3-2.fna.fbcdn.net/v/t39.30808-6/788815550_3176945279363501_7423284144576783908_n.jpg?stp=dst-jpg_tt6&cstp=mx1280x1264&ctp=s590x590&_nc_cat=100&_nc_map=urlgen_bucketless&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=EmFifl1CWiUQ7kNvwEeoOzW&_nc_oc=AdoZeppKzUFhS0O8XOegqQGegGkASU6JXRJX65Ko1XuW0-C-j_c4BSRpBh8uDP6gFRNquhce8Ndo_9Vmlyt-Pcvv&_nc_zt=23&_nc_ht=scontent.fagc3-2.fna&_nc_gid=eJ54cFtPt9Itqw8zu2Msvw&_nc_ss=73289&oh=00_AQIu1yKnfTvG1AO2O2ZgIjnT4AtBGM8ipPgaYTHNQ3wIbw&oe=6A9B170F",2026-09-01T08:58:50.010930+00:00,danangmls
Prime Nai Nam Plot for Sale Near Da Nang Downtown,https://www.danangmls.com/listing/prime-nai-nam-plot-for-sale-near-da-nang-downtown-n0clq1,57000.0,,120.0,475.0,0,Land,Hai Chau,30 minutes ago,2026-09-01,16.0544,108.2022,,84 973 747 373,"A rare asset for investors to lead the development of an area expected to become the city's new center.

📍 Location: Nai Nam Area, Fully Developed, Beautiful & Luxurious, 7.5m Road, Underground Electricity
📐 Area: 120m²
📏 Frontage: 6m – a beautiful, square-shaped tube plot, easy to design.

🌟 Heart of the new urban ecosystem:
✔ Adjacent to Masterise Homes
✔ Near Lotte Mart Da Nang
✔ Next to the DIFF Fireworks Zone
✔ Future iconic 69-story tower nearby

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:21.432449+00:00,danangmls
Prime Land for Sale in Central Da Nang,https://www.danangmls.com/listing/prime-land-for-sale-in-central-da-nang-1iswn0,144000.0,,80.0,1800.0,0,Land,,18 hours ago,2026-08-31,,,,0901.989.133,"Owner is selling a plot of land at K82 Nguyen Luong Bang Street, Da Nang City (near Bach Khoa University), connecting to Hoang Thi Loan Street. Features a 7m wide paved alley - wide enough for two cars to pass each other.
⇨ Area: 5m x 16m = 80 sqm
⇨ Direction: Southeast
⇨ Price: 3.6 billion VND, negotiable.
Contact: 0886815252 to view the land.
Zalo: 0901.989.133 Ms. Tu.

Ø3  Zalo / WhatsApp: +84 973 747 373
Ø3§ Email: danang4homes@gmail.com
Ø3¬ Website: danang.homes",2026-09-01T08:58:57.756028+00:00,danangmls
Prime Land for Sale in Central Residential Area,https://www.danangmls.com/listing/prime-land-for-sale-in-central-residential-area-1qkydv,114000.0,,73.0,1561.64,0,Land,Hoi An,20 hours ago,2026-08-31,15.8801,108.338,,84 973 747 373,"Land at Ca Van Thinh - Hoa Cuong, 73 sqm. Central location, existing residential area, full amenities. East-north orientation. Land title ready.
📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:58:59.469627+00:00,danangmls
Prime Land for Sale Near Son Tra Beach,https://www.danangmls.com/listing/prime-land-for-sale-near-son-tra-beach-1ijvre,152000.0,,65.0,2338.46,0,Land,Son Tra,1 day ago,2026-08-31,16.09,108.25,,84 973 747 373,"For sale: A prime plot of land on Võ Duy Ninh Lane, just 150 meters from the beach in Son Tra. This 65m² plot (6.38m frontage, slightly wider at the back) is located in an established residential area, perfect for building a residence or as a long-term investment. Excellent location with easy access.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:02.602281+00:00,danangmls
Prime Land Plot for Sale in Da Nang Community,https://www.danangmls.com/listing/prime-land-plot-for-sale-in-da-nang-community-1kn126,120000.0,,100.0,1200.0,0,Land,,18 hours ago,2026-08-31,,,,84 973 747 373,"Land plot for sale with a flat, square shape measuring 100m² (5m x 20m), providing easy construction access. Cars can access the location directly, with convenient roads. Located in an existing residential area with full amenities. Suitable for purchasing to live in or as a long-term asset.

Price is only 3 Billion VND – serious buyers can close the deal quickly!

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:05.712848+00:00,danangmls
Prime Land Plot for Sale in Hoa Xuan,https://www.danangmls.com/listing/prime-land-plot-for-sale-in-hoa-xuan-oc4zt1,38000.0,,198.0,191.92,0,Land,Cam Le,1 day ago,2026-08-31,15.995,108.198,,84 973 747 373,"This land plot with an area of 198m2 and a width of 10m is located near National Highway 14 and Nam Ky Khoi Nghia Duong Son. It is suitable for building a garden house or for investment. The property comes with a genuine Red Book (legal ownership certificate) and the owner is the original seller. For more information, please contact the owner directly.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:08.870522+00:00,danangmls
Prime Land Plot for Sale in Lien Chieu,https://www.danangmls.com/listing/prime-land-plot-for-sale-in-lien-chieu-16g2xg,38000.0,,198.0,191.92,0,Land,Lien Chieu,1 day ago,2026-08-31,16.1,108.138,,84 973 747 373,"Land plot in Hoa Tien, Le Son 2, near Le Trach.
- Area: 198 m², width 10 m
- Location: Near QL14, near Nam Ky Khoi Nghia, Duong Son
- Suitable for building a garden house or investment
- Price: Slightly over 1 billion VND
- Legal red book, standard ownership, one owner
For more information, contact:

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes

Price: $38,000 for sale",2026-09-01T08:59:10.439995+00:00,danangmls
Prime Land Plot for Sale Near Coopmart Danang,https://www.danangmls.com/listing/prime-land-plot-for-sale-near-coopmart-danang-1bq64x,76000.0,,54.0,1407.41,0,Land,Hai Chau,2 hours ago,2026-09-01,16.0544,108.2022,,0966.301.064,"Width 4.8m, area 54m2 right near Coopmart supermarket for only 2 billion VND.
If you have plans to build a house, please consider this land plot.
It's right in the center of Da Nang, and it's hard to find a beautiful plot like this for just 2 billion VND. 🥰
Contact the owner directly:
Phone: 0905.333.486 / Zalo: 0966.301.064, contact Thang.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:13.588896+00:00,danangmls
"Prime Land Plots for Sale in Da Nang, Vietnam",https://www.danangmls.com/listing/prime-land-plots-for-sale-in-da-nang-vietnam-grq1g6,108000.0,,300.0,360.0,0,Land,,1 day ago,2026-08-31,,,,,"**Two Adjacent Land Plots – 24m Wide Frontage | Duy Nghia, Da Nang City**
Each plot: 12m x 25m = 300m².
Total width of 24m – extremely beautiful for building a vacation villa, homestay, or for investment.
Frontage road + wide sidewalk of 20.5m – spacious, convenient for traffic.
Price is only 9 million/m² – negotiable directly with the owner.
Located in Duy Nghia, Da Nang City.
Full amenities available within a 1km radius.
A rare wide 24m land fund – perfect for investment and vacation!

8️ 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:16.702542+00:00,danangmls
Prime Location for Sale with My Khe Beach Access,https://www.danangmls.com/listing/prime-location-for-sale-with-my-khe-beach-access-1fe4jf,171000.0,,,,0,Land,Ngu Hanh Son,1 day ago,2026-08-31,16.0,108.252,,84 973 747 373,"FOR SALE: Stunning property just 100m from the famous My Khe Beach, perfect for enjoying a morning walk and swimming. Features a spacious frontage of up to 6.7m. Excellent feng shui. Generates a monthly cash flow of 10 million VND.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:18.285439+00:00,danangmls
Prime My Khe Beach Location for Sale,https://www.danangmls.com/listing/prime-my-khe-beach-location-for-sale-jozmpk,178000.0,,,,0,Land,Ngu Hanh Son,1 day ago,2026-08-31,16.0,108.252,,84 973 747 373,"English Translation & Improved Version:
Walk to My Khe Beach from this property. It features a frontage of up to 6.7 meters and has no feng shui flaws. It generates a monthly cash flow of 10 million VND.
Bargain basement price: 4 billion 450 million VND.
Contact for more details.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:19.889930+00:00,danangmls
Prime Residential Land Plot for Sale Near Phú Ân Nam,https://www.danangmls.com/listing/prime-residential-land-plot-for-sale-near-ph-n-nam-yfomg,63600.0,,89.0,714.61,0,Land,,14 hours ago,2026-08-31,,,,84 973 747 373,"Still 3 house-building lots available - Adjacent to Phú Ân Nam Urban Area.
📍 Diên An - Khánh Hòa

📐 Land Area: 89 sqm - Width 5m - 70 sqm residential land
💵 Price: 1.59 billion VND 🔥
📕 Legal: Ready red book (sổ đỏ)

🛣️ Car access road
🏘️ Urban area, vibrant amenities. Open, breezy embankment road; exercise and sports to improve Health... Good quality of life!
🌊 Nha Trang Beach: 9km away

Contact Khoa: 090.5252.110

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes

Price: $60,420 for sale

Location: Not Provided

Bedrooms: 0

Type: Land

Member Name: Nguyễn Văn Khoa

Image URL 1: https://scontent.fagc1-1.fna.fbcdn.net/v/t39.30808-6/791143629_1735535921033289_7208263961509208741_n.jpg?stp=dst-jpg_tt6&cstp=mx1068x1522&ctp=s590x590&_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=FYZCswxDr_wQ7kNvwES7jNF&_nc_oc=Adq7aTeVhBjgPXND2hvL0aC7-nnSEF5ynY52xm-p-och0j5GZGnyW8ReG9ZzyWUjU17s5Jx_GKAIfp10mfFBvIkl&_nc_zt=23&_nc_ht=scontent.fagc1-1.fna&_nc_gid=6EXjQUWupjqshb4j-ed_-g&_nc_ss=72289&oh=00_AQLPd6zKnIiHTXOuMTIyC-g3KIC59y11XLHtAYMUkweYdQ&oe=6A9B76B9",2026-09-01T08:59:23.029993+00:00,danangmls
Prime Two-Frontage Land Plot for Sale in Điện Bàn Đông,https://www.danangmls.com/listing/prime-two-frontage-land-plot-for-sale-in-i-n-b-n-ng-19klr6,57000.0,,184.0,309.78,0,Land,Hoi An,21 hours ago,2026-08-31,15.8801,108.338,,84 973 747 373,"Owner is in urgent need of cash and has reduced the price by 500 million VND. This is a rare two-frontage land plot in Điện Bàn Đông. The land has an area of 184 sqm with a width of 5.5m and is accessible by car. This is a fantastic investment opportunity at a reduced price.
📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:26.153294+00:00,danangmls
Spacious Land Plot for Sale in Da Nang,https://www.danangmls.com/listing/spacious-land-plot-for-sale-in-da-nang-13mrkp,85500.0,,96.0,890.62,0,Land,,1 day ago,2026-08-31,,,,84 973 747 373,"For sale is a land plot suitable for a vehicle on Hoang Van Thai Alley, connecting to Nam Cao Street. Perfect for families with a modest budget looking for a stable residence in Da Nang. The location is convenient, near the bus station, airport, and the beach. The area is densely populated. The plot area is 96m² with a wider rear section. Price is negotiable.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:29.335099+00:00,danangmls
Spacious Land Plots for Sale in Da Nang,https://www.danangmls.com/listing/spacious-land-plots-for-sale-in-da-nang-1lmlkj,114000.0,,50.0,2280.0,0,Land,Hai Chau,7 hours ago,2026-09-01,16.0544,108.2022,,84 973 747 373,"Hello, I am selling 2 land plots with an area of over 50m², spacious and airy width. The drainage system and electricity are fully available.
Household registration in Hai Chau. The plot frontage is 3.5m wide. The location is only 30m from the main road.
Price is only from 3 billion VND per plot.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:30.933333+00:00,danangmls
"Two Adjacent Land Lots for Sale in Duy Nghia, Da Nang",https://www.danangmls.com/listing/two-adjacent-land-lots-for-sale-in-duy-nghia-da-nang-ptr9rs,108000.0,,300.0,360.0,0,Land,Cam Le,1 day ago,2026-08-31,15.995,108.198,,84 973 747 373,"FOR SALE - TWO ADJACENT LAND LOTS WITH 24M WIDTH IN DUY NGHIA, DA NANG. Each lot measures 12m x 25m, totaling 300m². The combined 24m width is exceptionally rare and perfect for building a vacation villa, homestay, or investment property. The property boasts frontage on a road with a 20.5m wide sidewalk, offering open space and convenient transportation. Full amenities are available within a 1km radius.
Price per square meter is 9 million VND – please negotiate directly with the owner.
📍 Located in Duy Nghia, Da Nang.

📞 Zalo / WhatsApp: +84 973 747 373
📧 Email: danang4homes@gmail.com
🌐 Website: danang.homes",2026-09-01T08:59:32.575380+00:00,danangmls
